,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
275,  The Woman in Black,2012,6.4,/title/tt1596365/,17000000.0,128955898.0,111955898.0,2012-02-03,02
276,  Thale,2012,5.5,/title/tt2112287/,1200000.0,296500.0,-903500.0,2012-02-17,02
277,  Berserk: The Golden Age Arc I - The Egg of the King,2012,7.5,/title/tt2210479/,,2152610.0,,2012-04-26,04
278,  ATM (I),2012,4.7,/title/tt1603257/,3000000.0,921752.0,-2078248.0,2012-03-02,03
279,  [REC] 3: Genesis,2012,5,/title/tt1649444/,6400000.0,11019975.0,4619975.0,2012-03-30,03
280,  Citadel (I),2012,5.4,/title/tt1641975/,,141886.0,,2013-03-01,03
281,  Sinister (I),2012,6.8,/title/tt1922777/,3000000.0,82515113.0,79515113.0,2012-10-12,10
282,  Evidence (III),2012,5,/title/tt1640218/,12464.0,,,2012-09-27,09
283,  The Tall Man,2012,5.9,/title/tt1658837/,15600000.0,7462847.0,-8137153.0,2012-09-05,09
284,  In Their Skin,2012,5.3,/title/tt1790869/,4000000.0,106919.0,-3893081.0,2012-11-09,11
285,  Resolution (III),2012,6.3,/title/tt1977895/,,,,2013-01-23,01
286,  Outpost: Black Sun,2012,4.9,/title/tt1418712/,3000000.0,,,,
287,  Dark Shadows,2012,6.2,/title/tt1077368/,150000000.0,245527149.0,95527149.0,2012-05-11,05
288,  Piranha 3DD,2012,3.8,/title/tt1714203/,5000000.0,8518634.0,3518634.0,2012-05-11,05
289,  Antiviral,2012,5.7,/title/tt2099556/,2400000.0,61808.0,-2338192.0,2013-02-13,02
290,  Stitches (I),2012,5.7,/title/tt2126362/,,63555.0,,2012-10-26,10
291,  Sightseers,2012,6.5,/title/tt2023690/,1573000.0,2122909.0,549909.0,2013-05-10,05
292,  Chernobyl Diaries,2012,5,/title/tt1991245/,1000000.0,38390020.0,37390020.0,2012-05-25,05
293,  Maniac,2012,6.1,/title/tt2103217/,6000000.0,2631275.0,-3368725.0,2013-01-02,01
294,  A Fantastic Fear of Everything,2012,5.8,/title/tt2006040/,1815000.0,96948.0,-1718052.0,2012-06-08,06
295,  Abraham Lincoln: Vampire Hunter,2012,5.9,/title/tt1611224/,69000000.0,116471580.0,47471580.0,2012-06-22,06
296,  Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,7.7,/title/tt2358911/,,,,2012-06-23,06
297,  Berberian Sound Studio,2012,6.2,/title/tt1833844/,,312757.0,,2012-08-31,08
298,  Storage 24,2012,4.5,/title/tt1986953/,,646175.0,,2012-06-29,06
299,  Chained (I),2012,6.4,/title/tt1989475/,,77839.0,,2013-07-18,07
300,  Truth or Die (II),2012,5.6,/title/tt1838722/,1000000.0,2504058.0,1504058.0,2012-08-06,08
301,  The Dinosaur Project,2012,4.6,/title/tt1907779/,,2412576.0,,2012-08-10,08
302,  Cockneys vs Zombies,2012,5.9,/title/tt1362058/,,107348.0,,2013-08-02,08
303,  The Apparition,2012,4.1,/title/tt1433822/,17000000.0,11350665.0,-5649335.0,2012-08-24,08
304,  The Seasoning House,2012,6.1,/title/tt1555093/,1028500.0,,,2013-06-21,06
305,  Universal Soldier: Day of Reckoning,2012,5,/title/tt1659343/,10000000.0,1402307.0,-8597693.0,2012-10-25,10
306,  After (I),2012,5.4,/title/tt1799508/,650000.0,,,2012-09-14,09
307,  It's Such a Beautiful Day,2012,8.2,/title/tt2396224/,,,,2016-05-21,05
308,  Vamps,2012,5.2,/title/tt1545106/,16000000.0,92748.0,-15907252.0,2012-11-02,11
309,  American Mary,2012,6.2,/title/tt1959332/,,,,2013-01-11,01
310,  The Possession (I),2012,5.9,/title/tt0431021/,14000000.0,85446075.0,71446075.0,2012-08-31,08
311,  Resident Evil: Retribution,2012,5.3,/title/tt1855325/,65000000.0,240159255.0,175159255.0,2012-09-14,09
312,  Bait (III),2012,5.2,/title/tt1438173/,20400000.0,33492566.0,13092566.0,2012-09-20,09
313,  Hotel Transylvania,2012,7,/title/tt0837562/,85000000.0,358375603.0,273375603.0,2012-09-28,09
314,  No One Lives,2012,5.9,/title/tt1763264/,2900000.0,1048704.0,-1851296.0,2013-05-10,05
315,  Byzantium,2012,6.5,/title/tt1531901/,9680000.0,828284.0,-8851716.0,2013-05-31,05
316,  The Lords of Salem,2012,5.2,/title/tt1731697/,1500000.0,1544989.0,44989.0,2013-04-18,04
317,  Aftershock,2012,4.8,/title/tt1780762/,2000000.0,294696.0,-1705304.0,2014-06-12,06
318,  The Bay (II),2012,5.7,/title/tt1713476/,,1581252.0,,2012-11-21,11
319,  The ABCs of Death,2012,4.7,/title/tt1935896/,,23589.0,,2013-04-26,04
320,  Frankenweenie,2012,6.9,/title/tt1142977/,39000000.0,84247681.0,45247681.0,2012-10-05,10
321,  House at the End of the Street,2012,5.5,/title/tt1582507/,10000000.0,44287131.0,34287131.0,2012-09-21,09
322,  The Collection (II),2012,6.1,/title/tt1748227/,7500000.0,9929706.0,2429706.0,2012-11-30,11
323,  The Conspiracy,2012,6.3,/title/tt2330322/,1500000.0,,,2013-08-08,08
324,  Resident Evil: Damnation,2012,6.4,/title/tt1753496/,,2325035.0,,2012-10-27,10
325,  Kiss of the Damned,2012,5.5,/title/tt1959438/,,14752.0,,2013-03-28,03
326,  Grave Encounters 2,2012,5.1,/title/tt2231554/,1400000.0,1552486.0,152486.0,2012-10-02,10
327,  Gallowwalkers,2012,3.6,/title/tt0829176/,17000000.0,141696.0,-16858304.0,2014-03-15,03
328,  Smiley,2012,3.4,/title/tt2025667/,,,,2012-10-12,10
329,  The Battery,2012,6.3,/title/tt2272350/,6000.0,,,2013-06-04,06
330,  Would You Rather,2012,5.7,/title/tt1999995/,,,,2019-06-06,06
331,  Paranormal Activity 4,2012,4.6,/title/tt2109184/,5000000.0,142802657.0,137802657.0,2012-10-19,10
332,  Pizza (II),2012,8,/title/tt2585562/,183000.0,,,2012-10-19,10
333,  Silent Hill: Revelation,2012,4.9,/title/tt0938330/,20000000.0,55362705.0,35362705.0,2012-10-26,10
334,  Lesson of the Evil,2012,6.6,/title/tt2294473/,,26167224.0,,2012-11-10,11
335,  Silent Night (I),2012,5.2,/title/tt2347497/,5000000.0,130781.0,-4869219.0,2012-12-04,12
336,  Apartment 1303 3D,2012,2.5,/title/tt1540767/,5000000.0,3377891.0,-1622109.0,2013-07-25,07
337,  Texas Chainsaw,2013,4.8,/title/tt1572315/,20000000.0,47340586.0,27340586.0,2013-01-04,01
338,  A Haunted House,2013,5,/title/tt2243537/,2500000.0,60159584.0,57659584.0,2013-01-11,01
339,  Warm Bodies,2013,6.8,/title/tt1588173/,35000000.0,116980662.0,81980662.0,2013-02-01,02
340,  Hansel & Gretel: Witch Hunters,2013,6.1,/title/tt1428538/,50000000.0,226349749.0,176349749.0,2013-01-25,01
341,  Mama (I),2013,6.2,/title/tt2023587/,15000000.0,146428180.0,131428180.0,2013-01-18,01
342,  Escape from Tomorrow,2013,5.1,/title/tt2187884/,,171962.0,,2014-07-19,07
343,  We Are What We Are,2013,5.9,/title/tt2309021/,,159047.0,,2013-10-25,10
344,  V/H/S/2,2013,6,/title/tt2450186/,,805574.0,,2013-06-06,06
345,  In Fear (I),2013,5.4,/title/tt2165859/,,274660.0,,2013-11-15,11
346,  Hell Baby,2013,4.9,/title/tt2318527/,2500000.0,8785.0,-2491215.0,,
347,  Night of the Templar,2013,5.5,/title/tt0768222/,3230000.0,,,2013-01-22,01
348,  Magic Magic,2013,5,/title/tt1929308/,,,,2013-08-28,08
349,  Jug Face,2013,5.2,/title/tt2620736/,,,,2013-07-08,07
350,  Frankenstein's Army,2013,5.3,/title/tt1925435/,,,,2013-05-18,05
351,  The Haunting in Connecticut 2: Ghosts of Georgia,2013,5.3,/title/tt1457765/,9000000.0,5127434.0,-3872566.0,2013-02-01,02
352,  Berserk: The Golden Age Arc III - The Advent,2013,7.8,/title/tt2358913/,,399445.0,,2013-02-01,02
353,  Dark Skies,2013,6.3,/title/tt2387433/,3500000.0,27858103.0,24358103.0,2013-02-22,02
354,  Devil's Pass,2013,5.7,/title/tt1905040/,,5217347.0,,2013-02-28,02
355,  The Last Exorcism Part II,2013,4,/title/tt2034139/,5000000.0,25051865.0,20051865.0,2013-03-01,03
356,  Evil Dead,2013,6.5,/title/tt1288558/,17000000.0,97542952.0,80542952.0,2013-04-05,04
357,  Cheap Thrills (I),2013,6.7,/title/tt2389182/,200000.0,59424.0,-140576.0,2014-03-21,03
358,  Haunter,2013,5.9,/title/tt2345567/,,1489366.0,,2013-10-17,10
359,  Bad Milo,2013,5.7,/title/tt2274570/,,19613.0,,2013-08-29,08
360,  Crush (II),2013,5.6,/title/tt2093977/,,105473.0,,2013-03-13,03
361,  The Call (II),2013,6.7,/title/tt1911644/,13000000.0,68572631.0,55572631.0,2013-03-15,03
362,  The Last Days,2013,6.1,/title/tt1935914/,5200000.0,4343816.0,-856184.0,2013-03-27,03
363,  Pee Mak,2013,7.2,/title/tt2776344/,1813500.0,20896252.0,19082752.0,2013-03-28,03
364,  Odd Thomas,2013,6.8,/title/tt1767354/,27000000.0,1149267.0,-25850733.0,2014-02-28,02
365,  Scary Movie V,2013,3.5,/title/tt0795461/,20000000.0,78378744.0,58378744.0,2013-04-12,04
366,  The Human Race,2013,5.1,/title/tt1427298/,,,,2014-06-13,06
367,  Raze,2013,5.1,/title/tt2111392/,,7429.0,,2014-01-16,01
368,  Big Bad Wolves,2013,6.8,/title/tt2309224/,,291239.0,,2013-08-15,08
369,  Willow Creek,2013,5.1,/title/tt2885364/,,,,2014-05-02,05
370,  The Purge (I),2013,5.7,/title/tt2184339/,3000000.0,89328627.0,86328627.0,2013-06-07,06
371,  Go Goa Gone,2013,6.6,/title/tt2436516/,,429350.0,,2013-05-10,05
372,  Borgman,2013,6.7,/title/tt1954315/,3224000.0,1052010.0,-2171990.0,2013-08-29,08
373,  The Last Days on Mars,2013,5.5,/title/tt1709143/,8470000.0,187191.0,-8282809.0,2013-09-19,09
374,  Only Lovers Left Alive,2013,7.2,/title/tt1714915/,7000000.0,7609187.0,609187.0,2013-12-25,12
375,  Hammer of the Gods,2013,4.5,/title/tt2193418/,,7343.0,,2013-05-30,05
376,  World War Z,2013,7,/title/tt0816711/,190000000.0,540455876.0,350455876.0,2013-06-21,06
377,  The Conjuring,2013,7.5,/title/tt1457767/,20000000.0,320406242.0,300406242.0,2013-07-19,07
378,  Hatchet III,2013,5.6,/title/tt1870419/,1169935.0,,,2013-11-07,11
379,  The House at the End of Time,2013,6.7,/title/tt2640474/,300000.0,4588899.0,4288899.0,2013-06-21,06
380,  Contracted,2013,5.3,/title/tt2281159/,,58221.0,,2013-11-22,11
381,  Curse of Chucky,2013,5.6,/title/tt2230358/,5000000.0,,,2013-09-24,09
382,  Dabbe: The Possession,2013,6.8,/title/tt3069758/,,2005958.0,,2013-08-02,08
383,  The Mortal Instruments: City of Bones,2013,5.8,/title/tt1538403/,60000000.0,95396573.0,35396573.0,2013-08-21,08
384,  Open Grave,2013,6.2,/title/tt2071550/,,489812.0,,2014-01-03,01
385,  Banshee Chapter,2013,5.4,/title/tt2011276/,950000.0,,,2013-12-12,12
386,  Final Prayer,2013,5.8,/title/tt2781832/,,,,2015-02-24,02
387,  I Spit on Your Grave 2,2013,5.7,/title/tt2537176/,,678604.0,,2013-09-05,09
388,  Under the Skin (I),2013,6.3,/title/tt1441395/,13300000.0,5866389.0,-7433611.0,2014-03-14,03
389,  Wolf Creek 2,2013,6.1,/title/tt2004432/,7200000.0,4383978.0,-2816022.0,2014-04-17,04
390,  Rigor Mortis,2013,6.3,/title/tt2771800/,1920000.0,3018374.0,1098374.0,2014-06-06,06
391,  The Sacrament,2013,6.1,/title/tt2383068/,4000000.0,9221.0,-3990779.0,2014-05-01,05
392,  All Cheerleaders Die,2013,5.1,/title/tt2527186/,,,,2014-05-08,05
393,  Horns,2013,6.4,/title/tt1528071/,,3875442.0,,2014-10-03,10
394,  Oculus,2013,6.5,/title/tt2388715/,5000000.0,44459951.0,39459951.0,2014-04-11,04
395,  The Green Inferno,2013,5.3,/title/tt2403021/,5000000.0,12666449.0,7666449.0,2015-09-25,09
396,  Afflicted,2013,6.2,/title/tt2309961/,,121179.0,,2015-01-27,01
397,  Insidious: Chapter 2,2013,6.5,/title/tt2226417/,5000000.0,161919318.0,156919318.0,2013-09-13,09
398,  Witching and Bitching,2013,6.4,/title/tt2404738/,,7422695.0,,2013-09-27,09
399,  Knights of Badassdom,2013,5.5,/title/tt1545660/,,123854.0,,2014-04-11,04
400,  Nothing Left to Fear,2013,4.4,/title/tt1662293/,3000000.0,1675381.0,-1324619.0,2013-09-26,09
401,  Nurse,2013,4.5,/title/tt1913166/,10000000.0,706617.0,-9293383.0,2013-10-24,10
402,  Carrie,2013,5.8,/title/tt1939659/,30000000.0,84790678.0,54790678.0,2013-10-18,10
403,  Haunt,2013,5.2,/title/tt2386278/,,2408629.0,,2013-10-09,10
404,  Gallows Hill,2013,5.2,/title/tt2387408/,2500000.0,1498262.0,-1001738.0,2014-08-29,08
405,  The Returned,2013,5.9,/title/tt2093270/,5000000.0,612521.0,-4387479.0,2013-11-15,11
406,  All Hallows' Eve,2013,5.1,/title/tt2900624/,500000.0,,,2019-04-17,04
407,  Wer,2013,5.9,/title/tt2229511/,2500000.0,860940.0,-1639060.0,2014-08-19,08
408,  The Den,2013,6,/title/tt2503154/,500000.0,410129.0,-89871.0,2014-03-14,03
409,  Paranormal Activity: The Marked Ones,2014,5,/title/tt2473682/,5000000.0,90894962.0,85894962.0,2014-01-03,01
410,  Devil's Due,2014,4.1,/title/tt2752758/,7000000.0,36921560.0,29921560.0,2014-01-17,01
411,  The Babadook,2014,6.8,/title/tt2321549/,2000000.0,10484459.0,8484459.0,2014-11-28,11
412,  Cooties,2014,5.7,/title/tt2490326/,,485544.0,,2015-09-18,09
413,  The Voices,2014,6.3,/title/tt1567437/,,2097718.0,,2015-02-06,02
414,  A Girl Walks Home Alone at Night,2014,6.9,/title/tt2326554/,,589307.0,,2015-04-20,04
415,  Life After Beth,2014,5.6,/title/tt2581244/,2400000.0,274717.0,-2125283.0,2014-07-15,07
416,  Dead Snow 2: Red vs. Dead,2014,6.8,/title/tt2832470/,3500000.0,1187477.0,-2312523.0,2014-10-07,10
417,  What We Do in the Shadows,2014,7.6,/title/tt3416742/,1600000.0,7412611.0,5812611.0,2015-02-13,02
418,  Killers,2014,6.4,/title/tt2409300/,,5248.0,,2014-02-01,02
419,  Cabin Fever: Patient Zero,2014,4.4,/title/tt2102496/,,,,2014-02-13,02
420,  Vampire Academy,2014,5.4,/title/tt1686821/,30000000.0,15642346.0,-14357654.0,2014-02-07,02
421,  Exists,2014,5.2,/title/tt1988621/,,413767.0,,2014-10-03,10
422,  13 Sins,2014,6.3,/title/tt2059171/,4000000.0,826913.0,-3173087.0,2014-04-11,04
423,  Honeymoon,2014,5.7,/title/tt3177316/,1000000.0,24343.0,-975657.0,2014-09-12,09
424,  Creep (I),2014,6.3,/title/tt2428170/,,,,2015-06-23,06
425,  Starry Eyes,2014,6,/title/tt2793490/,,10220.0,,2014-11-14,11
426,  Night of the Wolf,2014,6,/title/tt2420756/,,,,2014-11-17,11
427,  At the Devil's Door (VI),2014,4.7,/title/tt2597242/,,74624.0,,2014-08-08,08
428,  Housebound,2014,6.7,/title/tt3504048/,220500.0,241347.0,20847.0,2014-09-04,09
429,  The Quiet Ones,2014,5.1,/title/tt2235779/,200000.0,17835162.0,17635162.0,2014-04-25,04
430,  Alien Abduction,2014,4.8,/title/tt2510434/,,82725.0,,2014-04-04,04
431,  Zombeavers,2014,4.8,/title/tt2784512/,,54985.0,,2015-03-20,03
432,  Preservation,2014,4.8,/title/tt3138558/,,,,2015-01-09,01
433,  Let Us Prey,2014,5.8,/title/tt3148348/,,,,2015-06-12,06
434,  The Canal,2014,5.8,/title/tt2517658/,,75212.0,,2014-10-10,10
435,  A Haunted House 2,2014,4.6,/title/tt2828996/,4000000.0,25358716.0,21358716.0,2014-04-18,04
436,  Extraterrestrial,2014,5,/title/tt2960930/,3000000.0,71103.0,-2928897.0,2014-10-17,10
437,  Time Lapse,2014,6.5,/title/tt2669336/,,19572.0,,2015-05-15,05
438,  Indigenous,2014,4.7,/title/tt2815072/,,,,2016-01-05,01
439,  Flight 7500,2014,4.8,/title/tt1975159/,,2871035.0,,2016-04-12,04
440,  It Follows,2014,6.8,/title/tt3235888/,1000000.0,21947454.0,20947454.0,2015-03-13,03
441,  Wolfcop,2014,5.5,/title/tt2781516/,750000.0,,,2015-02-25,02
442,  Animal (I),2014,4.6,/title/tt2996684/,,,,2015-02-01,02
443,  Stonehearst Asylum,2014,6.8,/title/tt1772264/,,2478806.0,,2014-10-24,10
444,  Deliver Us from Evil (I),2014,6.2,/title/tt2377322/,30000000.0,87937815.0,57937815.0,2014-07-02,07
445,  Twin Peaks: The Missing Pieces,2014,7.6,/title/tt5334704/,,,,2014-08-01,08
446,  The Purge: Anarchy,2014,6.4,/title/tt2975578/,9000000.0,111928365.0,102928365.0,2014-07-18,07
447,  Unfriended,2014,5.6,/title/tt3713166/,1000000.0,62882090.0,61882090.0,2015-04-17,04
448,  Kristy,2014,5.9,/title/tt2027136/,6900000.0,616506.0,-6283494.0,2015-11-05,11
449,  Come Back to Me,2014,5.8,/title/tt2551396/,,7744.0,,2014-07-25,07
450,  The Blue Elephant,2014,8,/title/tt3461252/,3500000.0,695436.0,-2804564.0,2014-07-28,07
451,  Black Mountain Side,2014,5.1,/title/tt3139756/,,,,2016-01-26,01
452,  The Possession of Michael King,2014,5.7,/title/tt2282016/,,2405143.0,,2014-08-22,08
453,"  As Above, So Below",2014,6.2,/title/tt2870612/,5000000.0,41898409.0,36898409.0,2014-08-29,08
454,  Leprechaun: Origins,2014,3.2,/title/tt2345613/,,,,2014-08-26,08
455,  Digging Up the Marrow,2014,5.8,/title/tt1991031/,,10969.0,,2015-02-20,02
456,  The Remaining (I),2014,4.3,/title/tt2714380/,,2297261.0,,2014-09-24,09
457,  V/H/S Viral,2014,4.2,/title/tt3704538/,,82409.0,,2014-10-23,10
458,  Wolves,2014,5.3,/title/tt1403241/,18000000.0,491154.0,-17508846.0,2014-08-28,08
459,  Goodnight Mommy,2014,6.7,/title/tt3086442/,,2193474.0,,2015-09-11,09
460,  Burying the Ex,2014,5.4,/title/tt3339674/,,668777.0,,2015-06-19,06
461,  Shrew's Nest,2014,6.7,/title/tt3417756/,,1152968.0,,2014-12-25,12
462,  Spring (I),2014,6.7,/title/tt3395184/,,49970.0,,2015-03-20,03
463,  Tusk (I),2014,5.3,/title/tt3099498/,3000000.0,1882074.0,-1117926.0,2014-09-19,09
464,  Backcountry (I),2014,6,/title/tt2944198/,,13848.0,,2015-03-20,03
465,  [REC] 4: Apocalypse,2014,5.3,/title/tt1649443/,3120000.0,4915757.0,1795757.0,2014-10-31,10
466,  No Good Deed (I),2014,5.6,/title/tt2011159/,13200000.0,54323210.0,41123210.0,2014-09-12,09
467,  Cub,2014,5.9,/title/tt3061836/,,763280.0,,2014-10-29,10
468,  Another World (I),2014,4.4,/title/tt1920846/,1000000.0,,,2016-03-01,03
469,  Don't Blink,2014,4.8,/title/tt1572306/,,104549.0,,2015-10-11,10
470,  ABCs of Death 2,2014,5.4,/title/tt2926810/,,7171.0,,2014-10-02,10
471,  Wyrmwood: Road of the Dead,2014,6.2,/title/tt2535470/,,111141.0,,2015-02-13,02
472,  The Town That Dreaded Sundown,2014,5.6,/title/tt2561546/,,,,2014-10-17,10
473,  Monsters: Dark Continent,2014,4.3,/title/tt1935302/,,306004.0,,2015-04-17,04
474,  Annabelle (I),2014,5.4,/title/tt3322940/,6500000.0,257589721.0,251089721.0,2014-10-03,10
475,  Dracula Untold,2014,6.2,/title/tt0829150/,70000000.0,217124280.0,147124280.0,2014-10-10,10
476,  Reaper (I),2014,5.2,/title/tt3081268/,,16873.0,,2015-06-06,06
477,  Mercy (I),2014,4.9,/title/tt2481496/,,,,2014-10-07,10
478,  The Houses October Built,2014,5.1,/title/tt1958043/,,,,2014-10-10,10
479,  Dark Was the Night,2014,5.6,/title/tt2251281/,,,,2015-07-24,07
480,  Girl House,2014,5.5,/title/tt2577172/,3150000.0,,,2015-02-14,02
481,  As the Gods Will,2014,6.4,/title/tt3354222/,,1938654.0,,2014-11-15,11
482,  See No Evil 2,2014,4.7,/title/tt3106120/,,,,2014-10-21,10
483,  The Taking of Deborah Logan,2014,6,/title/tt3387648/,1500000.0,407782.0,-1092218.0,2014-10-21,10
484,  Fear Clinic,2014,4.7,/title/tt2165765/,1000000.0,106974.0,-893026.0,2015-07-09,07
485,  Ouija (II),2014,4.5,/title/tt1204977/,5000000.0,103687316.0,98687316.0,2014-10-24,10
486,  Last Shift (I),2014,5.8,/title/tt2965466/,,,,2015-10-06,10
487,  Jessabelle,2014,5.4,/title/tt2300975/,,6998359.0,,2014-11-07,11
488,  Clown,2014,5.7,/title/tt1780798/,1500000.0,4381603.0,2881603.0,2016-06-17,06
489,  The Pyramid,2014,4.6,/title/tt2799166/,6500000.0,16861137.0,10361137.0,2014-12-05,12
490,  Altar,2014,5.1,/title/tt3484800/,,,,2015-02-17,02
491,  The Woman in Black 2: Angel of Death,2014,4.8,/title/tt2339741/,15000000.0,48854305.0,33854305.0,2015-01-02,01
492,  The Atticus Institute,2015,5.5,/title/tt3280916/,1000000.0,32521.0,-967479.0,2015-01-05,01
493,  Bound to Vengeance,2015,5.6,/title/tt1230213/,,160358.0,,2015-10-08,10
494,  Bloodsucking Bastards,2015,5.7,/title/tt3487994/,,,,2015-01-23,01
495,  Knock Knock (I),2015,4.9,/title/tt3605418/,2500000.0,5567103.0,3067103.0,2015-10-09,10
496,  The VVitch: A New-England Folktale,2015,6.9,/title/tt4263482/,4000000.0,40423945.0,36423945.0,2016-02-19,02
497,  Ratter,2015,5.1,/title/tt3836512/,500000.0,21214.0,-478786.0,2016-02-12,02
498,  The Hallow,2015,5.7,/title/tt2474976/,,1862407.0,,2015-11-05,11
499,  They Look Like People,2015,5.9,/title/tt4105970/,,,,2016-02-26,02
500,  Turbo Kid,2015,6.7,/title/tt3672742/,45000.0,67069.0,22069.0,2015-08-28,08
501,  The Final Girls,2015,6.5,/title/tt2118624/,6538513.0,,,2015-11-05,11
502,  Uncanny,2015,6.2,/title/tt2321502/,,,,2016-06-22,06
503,  Exeter (II),2015,4.5,/title/tt1945044/,,291097.0,,,
504,  Demonic,2015,5.3,/title/tt1841642/,3000000.0,4476578.0,1476578.0,2017-10-10,10
505,  The Lazarus Effect,2015,5.2,/title/tt2918436/,3300000.0,38356892.0,35056892.0,2015-02-27,02
506,  Into the Grizzly Maze,2015,5.3,/title/tt1694021/,10000000.0,,,2015-08-04,08
507,  Landmine Goes Click,2015,5.9,/title/tt2186848/,1000000.0,,,2015-11-10,11
508,  The Invitation (I),2015,6.6,/title/tt2400463/,,354835.0,,2016-04-08,04
509,  The Boy (I),2015,5.5,/title/tt2443822/,,,,2022-06-15,06
510,  Deathgasm,2015,6.3,/title/tt3705412/,,,,2015-10-02,10
511,  We Are Still Here (I),2015,5.7,/title/tt3520418/,,,,2015-05-30,05
512,  The Diabolical,2015,4.7,/title/tt3603808/,,269458.0,,2015-08-13,08
513,  He Never Died,2015,6.3,/title/tt2386404/,,,,2015-12-18,12
514,  Dead Rising: Watchtower,2015,5.2,/title/tt3816458/,,,,2015-03-27,03
515,  Infini,2015,5.3,/title/tt3327624/,800000.0,,,2015-05-20,05
516,  Stung (I),2015,5.1,/title/tt3300572/,2500000.0,71085.0,-2428915.0,2015-10-29,10
517,  Backtrack (I),2015,5.9,/title/tt2784936/,,,,2016-01-29,01
518,  Maggie (I),2015,5.6,/title/tt1881002/,,1663165.0,,2015-05-08,05
519,  Emelie,2015,5.4,/title/tt4503598/,,6147.0,,2016-03-04,03
520,  Tale of Tales,2015,6.4,/title/tt3278330/,12480000.0,5500277.0,-6979723.0,2016-04-22,04
521,  Area 51,2015,4.2,/title/tt1519461/,5000000.0,7556.0,-4992444.0,2015-05-15,05
522,  Green Room,2015,7,/title/tt4062536/,5000000.0,3769214.0,-1230786.0,2016-05-13,05
523,  Poltergeist,2015,4.9,/title/tt1029360/,35000000.0,95437994.0,60437994.0,2015-05-22,05
524,  The Human Centipede III (Final Sequence),2015,2.8,/title/tt1883367/,,16184.0,,2015-06-18,06
525,  Circle (II),2015,6,/title/tt3118452/,250000.0,,,2015-10-16,10
526,  Insidious: Chapter 3,2015,6.1,/title/tt3195644/,10000000.0,112983889.0,102983889.0,2015-06-05,06
527,  Intruders,2015,5.7,/title/tt4009278/,,,,2016-01-15,01
528,  The Abandoned,2015,4.9,/title/tt3311988/,,,,2015-06-13,06
529,  The Rezort,2015,5.3,/title/tt3923662/,6050000.0,30194.0,-6019806.0,2020-05-29,05
530,  Final Girl,2015,4.7,/title/tt2124787/,8000000.0,33411.0,-7966589.0,2015-08-14,08
531,  The Gallows,2015,4.2,/title/tt2309260/,100000.0,42964410.0,42864410.0,2015-07-10,07
532,  Harbinger Down,2015,4.6,/title/tt3397918/,,61036.0,,2015-08-07,08
533,  Jeruzalem,2015,4.8,/title/tt4552524/,,107024.0,,2016-07-07,07
534,  Tag,2015,6.1,/title/tt4439120/,,995024.0,,2015-07-11,07
535,  Attack on Titan Part 1,2015,5.1,/title/tt2072230/,,30810658.0,,2015-08-01,08
536,  13 Cameras,2015,5.1,/title/tt4392454/,,,,2016-04-15,04
537,  Extinction,2015,5.8,/title/tt3467412/,7280000.0,2350695.0,-4929305.0,2015-07-31,07
538,  A Christmas Horror Story,2015,5.8,/title/tt3688406/,,,,2015-10-02,10
539,  The Vatican Tapes,2015,4.8,/title/tt1524575/,8000000.0,13015764.0,5015764.0,2015-07-22,07
540,  Potato Salad,2015,1.3,/title/tt4404474/,1040000.0,3020134.0,1980134.0,2015-07-23,07
541,  Tales of Halloween,2015,5.5,/title/tt4163020/,,416792.0,,2015-10-16,10
542,  Bite (I),2015,4.9,/title/tt4264426/,,,,2015-10-02,10
543,  Howl (I),2015,5.4,/title/tt2393827/,1936000.0,477656.0,-1458344.0,2015-10-16,10
544,  Sinister 2,2015,5.3,/title/tt2752772/,10000000.0,53329150.0,43329150.0,2015-08-21,08
545,  Visions (II),2015,5.3,/title/tt2954474/,,1013805.0,,2016-01-19,01
546,  The Visit (I),2015,6.2,/title/tt3567288/,5000000.0,98450062.0,93450062.0,2015-09-11,09
547,  Curve,2015,5.5,/title/tt3212904/,,,,2016-01-19,01
548,  Attack on Titan Part 2,2015,4.7,/title/tt4294052/,,15187789.0,,2015-10-20,10
549,  Sicilian Vampire,2015,6.5,/title/tt4693464/,,,,2015-09-10,09
550,  Baskin,2015,5.8,/title/tt4935418/,,318155.0,,2016-01-01,01
551,  The Blackcoat's Daughter (I),2015,5.9,/title/tt3286052/,,38348.0,,2017-02-16,02
552,  The Devil's Candy,2015,6.4,/title/tt4935372/,,772319.0,,2017-03-17,03
553,  Évolution,2015,5.9,/title/tt4291590/,,55985.0,,2016-11-25,11
554,  Hidden (I),2015,6.4,/title/tt2131532/,,,,2015-09-15,09
555,  Pay the Ghost,2015,5.1,/title/tt3733778/,,2914020.0,,2015-09-25,09
556,  Southbound,2015,5.9,/title/tt4935334/,,35275.0,,2016-02-09,02
557,  Demon,2015,6.1,/title/tt4935158/,,104038.0,,2016-09-09,09
558,  Regression (I),2015,5.6,/title/tt3319920/,20000000.0,17671101.0,-2328899.0,2015-10-02,10
559,  MSG 2 the Messenger,2015,7.2,/title/tt4921860/,305000.0,,,2015-09-18,09
560,  Hotel Transylvania 2,2015,6.6,/title/tt2510894/,80000000.0,475186706.0,395186706.0,2015-09-25,09
